id,user_id,wallet_address,transaction_hash,amount_sol,amount_usd,purchase_date,status
1dc0462e-e898-4cfb-8adb-a9651f3d4ae9,979727253086822410,DwnAdGSZTLVGgd2x8BVzpdQdn8zsfTyqRSMKz3BszMaZ,5TJrjvdWsRLYFgZBPtrJgWnT7gYgvRkLDUPsj8kyUQUfV125W5Ynf6wYFEM1EkYGVFnYbpyMAXq7EKHd9WnsmdME,0.02,4.05,2025-07-22 14:30:24.764012+00,completed
1ef64f2e-515f-490c-aeea-b14e6b6a23d7,610373805440892969,5BqfRGzVfcqbf5nzyUcdMVfBEYHe8n83EGzmqzpn8dzF,5FWBQi5UEadStB8D2QE14SrtqNLSh65sLostFyFo1xMXBNdezNw4PyrMws8eeUGDrkaA6ifdVynkmqqRFUDJwhan,0.02,4.11,2025-07-23 00:02:50.499665+00,completed
1f1d1d7e-969f-41f2-9b3d-92edc5305e08,683370350675099658,6JfnPEbdTmRUNgMsVUMy4yFRk7tCpfL3AVPDqot6AuR9,3m7RpEoryitXJu8Bu2q3gG8ZVZbGEcD6WVSX6QHgay5ZNTGSJSTGHyN9D4LFcPmHswvhp3yTFcXdLuicFsGydh2n,0.02,4.1,2025-07-22 23:48:34.401196+00,completed
1fb054c5-f889-478a-80ea-cb7dd52dbf1b,1034271051141627904,HDKvM9uf9ghSTqXAnGo2GfNQtvNoeB1M6X59phqPqc37,3pBMA7xCK5ihdaJeYn88NFD774gfbAZefQRHuWUEFYbw2537HHSuaMDVWVw2j2g44jGmVtXbeNr1i94sdjV7xebn,0.02,4.05,2025-07-23 03:20:22.165474+00,completed
20b3db9a-1a24-4d7a-adf3-343769de68ca,414858335414648852,57QQAa8JMa1AfL93y5o3kKBAFzsrU1KppFx35v6hse1y,58yp8tCi2E86KXCoG7j1UF6SaYb3ZEQNfjLp1mtFGdsasZtNM87QJkJXGQznRARpUPPPHkfyXVjKh3TkrNSdNA9K,0.02,4.04,2025-07-22 18:24:39.585198+00,completed
2172d9f3-e97b-4c6e-8cb1-0d1e6d29398b,851772975324987422,GAiERzR7SRR9gujTgchgdgdSAkFD3Leyx4xUsQeH3wjm,49RUCjvCWFPwhD8x8swGFVKGyccBjyx1a7tu3fVzXTwNdej88uhQ13KP2DbCwXjQhGdvCzXKWEYmL2UmUGeKJsHs,0.02,4.04,2025-07-22 17:56:48.153531+00,completed
218b79b3-59ae-4442-bcea-0f52a5db78b9,1284161479763038340,CMFJiCNVK1QTJquPqarsi6QrMKXY77NmBnLPhgNtAPQr,67NJPhRiwxvccBEFSCFKK45Z1xyiqV3o3suiyCCp3zAXitMiUaJVsfXaUhroBhoDZEMR9NSKQCDmuYtQYWu9Ws8e,0.02,4.07,2025-07-22 16:58:59.886391+00,completed
219fdd8d-1b88-4799-9dc8-b01a18015b86,393165573242093578,7pSmv3wrGPQq4izPaZkF74YDChfP5hHX8V4pTRRrE6DX,5DUyKWSMty4wct6NnwMjyeT8N11Tbvp5ACn5Wr7TkZA9SBekm3Q526aV7hNTzxHEC5FJv1NpY3JWZHQA856cBYnW,0.02,4.04,2025-07-23 08:47:05.61922+00,completed
22272d4d-3c04-430e-a693-b0c1c953cb1d,1306322570353709076,2UdvXLvnYrzjSZDiWc4MTLy68uefAJ29cuem45PnPivg,5Q8kp3zZBxpBn11DvnRfRhLDACfFLqPReN3NF6zjRiNghXB77EfvD3j7ofsHXNhqmDKTgn8YsPhFLaxNRsLqNayC,0.02,4.06,2025-07-22 18:07:56.311441+00,completed
241a111c-f0f7-4168-9c28-1e0e6a0b9f16,855363019658756127,8HhbCoD421s3UUEarDKUSN5JYEjorweELZ7crRyUhCzf,5SieL3MEbjMxuw9DWFccUpJx9UJeUrJH17CtwLsmdfZEqHEP5HvSgR8me4TPrVd13KNLh3XrPUT37RB7aoTCX2w9,0.02,4.04,2025-07-23 04:16:54.508941+00,completed
24eaebe1-5686-48f9-afa1-98802606bb27,337666483046055949,BcpHB61QCwYDTpa5arqLDC6sz7fj3z4enUwCym1vdykU,nYGQfHvZuujBqEWEh1BR9ugmpd4rymz4aTqMFhHDFSCUkgimgTykMfE2vdgoxyzyPtPk1KivouKAwbDsnVHXTNq,0.02,3.87,2025-08-14 17:52:36.987341+00,completed
259afe91-4332-43f2-a007-7594e0c7015f,860337488911663104,9r1yBvv4phZcEd7EHi1VA4cm5FnDgEy4HbGeBBK6V9KW,DdLHoA4KEU2QcJMRTbjQkf6pqHxoLiXocfvqteCMc31Sz82YTE8c1SUQL7dqr6157QDssBQ3BcCQN4pYAGcDNDj,0.02,4.1,2025-07-23 01:03:16.162531+00,completed
2600eb50-d8d9-47e9-bc59-573f26ee09c9,301720881586110464,EsvRiC57zJxfQ1UVwL6eUyrNDTags65ved62FvnLr1M8,35zHtWeqtTJ8Z38DPzYXGwfS5uzpMvvcXNPFffZZuEySrSa73txzQ58sVccVQveo2oSt6DgM5VzDwvZAXKP9RjCf,0.02,4.08,2025-07-22 15:30:47.62687+00,completed
26083562-f0c4-476d-b8e7-f6978921392e,412673949214703626,5cDfWs2GzaP4CR6BrpS61sY8ZzXxPvJwg2WdchTR65pt,3ri16GYuR4gfsYHUAaUaPzjcnP1dNLqgmmLKUWtJyj8K8A4r6MhHitxe4uoAiDFECPV74BLGxFnEG3DXdu9tVc7u,0.02,4.07,2025-07-22 17:14:35.301787+00,completed
282c64b7-966e-4fbd-9602-ad77f0116520,400405985057046539,CoG9Z9sZSMYj1CNQWSvoZfki8vgVnvSvkxU9AfKrF3JA,3LhSpNe2WNXMaV25vZQ45Q2tG9UByHfoLhg66RAKBnKkEfc41kjzxFwwFSCH39DJ9GCcFLcXnNzezusfAbLd35qf,0.02,4.05,2025-07-22 18:22:20.949176+00,completed
286f32f3-b4db-4aea-89b2-3a31c17ac144,1327364462071775253,GWHRUAVNr5GK1WJwPYu6ZiowyrcW2EPQvfYyV3ELYCUW,2dwrMLiedrqAeoNSCgnEQKYgTUZaTuiAHrNZsQtb5rovep7r5hjNLLBsWSpQh4C8ukRTpTMK1idLNqn7icQtMgaa,0.02,4.02,2025-07-22 21:13:37.190436+00,completed
28c23a63-ff07-4949-8e5c-d78fee70a1d4,1209880540342386690,LcSbDtMTLPMz8GvjiUEnUzDUq8aEYXf3CfbRtMHHVTS,5dEesNGMMudZFqWzuzfeANvEB7LmbPGh1NaFNEhpPKMFuV8Q3bQsWgZfBEwU67g4TqDq2ngBkH1Dvz1fnKwXh7rs,0.02,4.05,2025-07-22 13:16:57.995731+00,completed
291c0add-b3c1-4390-897f-f8103127db08,329912148983545868,6SKSK4QbBzeRJqtgNsei8tVWPLo72s6XTZLxrbJJNaer,3qVAqMFvPLUGhQyfS6FxxJYU3wiazt7EbqWyXwDXiaN8dSJkCyQrv8jRBZsWbrCchQyBZB7JDeMNvpBogGDMtvGp,0.02,4.04,2025-07-22 17:44:23.588754+00,completed
2940601d-8898-4ba7-b433-4958f3a2891f,1292126103976149023,8UYg4ifZHcWhVdZFhS9bGWwYJhCZVhnYi6MSUTdeuBi1,24KyKzDE246SnN7AB2xKcnLCQn6tzLPY7ZzKCz7UCXNXjdD1JeSzBVSYBCTb9aaUDNdngT5AjTDyrX7T1VdKBUJp,0.02,3.99,2025-07-22 14:38:29.457782+00,completed
2a661821-88f5-441f-9d9d-501b30bfdd73,483808585613049857,sbmXWSkGpopuuTqTd3hXH2fJYm3y7D4ckVuqjtzqvUe,381iQJ3PoT9ap3XQY6WiCFNLD6dekwNAMB2Q6oanWXbL7D6i1sumpfXn2fsHSWnLnqAmT5bjLwuDWKXCv9QLmzcn,0.02,3.95,2025-08-15 10:01:27.349019+00,completed
2a9e65ba-2c59-4cfa-b417-f90800a1a796,389597658882506752,FZoYdUwf3R8B58UYxsutMjqSSavXFKc4xZ2MJm9VAJgM,5pwAidudhz6NNeKwENus81dCuSZEQhJMmeMKiYvPZpY26zQgpRA5h5h4qWvQFsUMUKheGfC5P9nYh75k584oUcBX,0.02,4.04,2025-07-22 13:59:17.210252+00,completed
2bb5d316-666e-4e27-bffc-1e754bb1ddb1,1263018203010043946,CVqfKs492X5wkovxRm9obUVUYFsFDV6fLj6tYgnKJ34C,5Qe2WJwDUDKZULXx7DVW5TzDCr9LBJQD2BXu7jrZoUVfMX33PgrAQZD7AACR95zzCd9KRdXz25xv4heRfn6r9nTW,0.02,4,2025-07-22 14:00:23.621675+00,completed
2be161fa-18c6-4b9a-9e11-5eb2aae5bdc8,522807755636080651,5QTD3E2fMHoBoy3UhwWD6vf3xiEGm619C7VzqK7XTwEX,2ts1K1GATz8zbKM2FRpEzAPoNU3syAvfEVJ7jqVCzugUmHDi5jysKNSPikouKv6rw9f5YsXWBNLQVA2oHRzBmg2q,0.02,4.05,2025-07-23 03:20:09.866365+00,completed
